本地频道,#genre#
中央1高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000311/index.m3u8#http://39.136.48.98:8089/wh7f454c46tw3132880623_-593743409/2/00/CHANNEL00000311/5840800/1.m3u8#http://120.221.2.229:8089/wh7f454c46tw1431176806_-156457460/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000311/index.m3u8?icpid=88888888&RTS=1633875710&from=4&hms_devid=331&online=1633875710&vqe=3
中央2高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000317/index.m3u8#http://39.136.48.101:8089/wh7f454c46tw4234270957_-1210828880/2/00/CHANNEL00000317/9470800/1.m3u8#http://39.136.48.100:8089/wh7f454c46tw2364188394_1754096026/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000317/index.m3u8?icpid=88888888&RTS=1633876643&from=4&hms_devid=2757&online=1633876643&vqe=3
中央3高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000359/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000371/index.m3u8
中央4高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000320/index.m3u8#http://39.137.78.214:8089/wh7f454c46tw4421510_1128399799/2/00/CHANNEL00000320/9470800/1.m3u8#http://39.136.48.98:8089/wh7f454c46tw2401567082_739415522/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000320/index.m3u8?icpid=88888888&RTS=1633876680&from=4&hms_devid=2753&online=1633876680&vqe=3
中央5高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000360/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000372/index.m3u8
中央5+高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000316/index.m3u8#http://120.221.37.172:8089/wh7f454c46tw289892643_407271006/2/00/CHANNEL00000316/5840800/1.m3u8#http://120.221.46.171:8089/wh7f454c46tw3699749561_1491539202/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000316/index.m3u8?icpid=88888888&RTS=1633877978&from=4&hms_devid=321&online=1633877978&vqe=3
中央6高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000361/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000374/index.m3u8
中央7高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000318/index.m3u8#http://39.137.78.214:8089/wh7f454c46tw338866609_-967381471/2/00/CHANNEL00000318/9470800/1.m3u8#http://39.136.48.105:8089/wh7f454c46tw3738468059_2143076819/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000318/index.m3u8?icpid=88888888&RTS=1633878017&from=4&hms_devid=2756&online=1633878017&vqe=3
中央8高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000362/index.m3u8#http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000376/index.m3u8
中央9高清,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000319/index.m3u8#http://39.135.105.13:8089/wh7f454c46tw390751200_-1871612051/2/00/CHANNEL00000319/9470800/1.m3u8#http://39.136.48.100:8089/wh7f454c46tw3773224662_-2075887656/ucdn.sd.chinamobile.com/00/SNM/CHANNEL00000319/index.m3u8?icpid=88888888&RTS=1633878052&from=4&hms_devid=2757&online=1633878052&vqe=3
